ID;WL(nm);Abs.;%T
1;700;0.019865;95.529
2;699;0.019882;95.5253
3;698;0.020005;95.4982
4;697;0.020239;95.4467
5;696;0.020376;95.4167
6;695;0.020442;95.4022
7;694;0.020642;95.3582
8;693;0.020903;95.3009
9;692;0.02114;95.2489
10;691;0.021068;95.2647
11;690;0.021241;95.2268
12;689;0.021394;95.1932
13;688;0.02151;95.1679
14;687;0.021554;95.1582
15;686;0.021725;95.1208
16;685;0.022034;95.0531
17;684;0.022167;95.024
18;683;0.022349;94.9842
19;682;0.022554;94.9393
20;681;0.022671;94.9137
21;680;0.022692;94.9092
22;679;0.022814;94.8825
23;678;0.023029;94.8356
24;677;0.023303;94.7756
25;676;0.023476;94.738
26;675;0.023817;94.6635
27;674;0.024075;94.6074
28;673;0.023975;94.6292
29;672;0.024182;94.584
30;671;0.024455;94.5247
31;670;0.024604;94.4923
32;669;0.024783;94.4532
33;668;0.024935;94.4203
34;667;0.025317;94.3373
35;666;0.025402;94.3188
36;665;0.0256;94.2758
37;664;0.025713;94.2512
38;663;0.025968;94.1958
39;662;0.025956;94.1985
40;661;0.026232;94.1386
41;660;0.026625;94.0535
42;659;0.026835;94.0081
43;658;0.027168;93.936
44;657;0.027338;93.8992
45;656;0.027438;93.8775
46;655;0.027692;93.8227
47;654;0.027824;93.7942
48;653;0.028057;93.7438
49;652;0.028152;93.7233
50;651;0.028372;93.676
51;650;0.028501;93.6481
52;649;0.028867;93.5693
53;648;0.028977;93.5455
54;647;0.029175;93.5029
55;646;0.029512;93.4303
56;645;0.029729;93.3836
57;644;0.02998;93.3297
58;643;0.030155;93.2921
59;642;0.030451;93.2286
60;641;0.030651;93.1856
61;640;0.030765;93.1611
62;639;0.031122;93.0847
63;638;0.031026;93.1052
64;637;0.031403;93.0244
65;636;0.031749;92.9503
66;635;0.031786;92.9424
67;634;0.032181;92.8579
68;633;0.03254;92.7812
69;632;0.032798;92.726
70;631;0.032893;92.7058
71;630;0.032965;92.6904
72;629;0.033182;92.6441
73;628;0.033503;92.5756
74;627;0.033958;92.4787
75;626;0.034283;92.4096
76;625;0.034423;92.3797
77;624;0.034621;92.3377
78;623;0.035008;92.2555
79;622;0.035219;92.2107
80;621;0.035587;92.1326
81;620;0.035743;92.0994
82;619;0.036138;92.0157
83;618;0.036486;91.9421
84;617;0.036507;91.9376
85;616;0.036707;91.8953
86;615;0.036957;91.8423
87;614;0.037246;91.7813
88;613;0.037588;91.7091
89;612;0.0378;91.6643
90;611;0.038293;91.5602
91;610;0.038513;91.5138
92;609;0.038813;91.4507
93;608;0.038851;91.4426
94;607;0.039109;91.3884
95;606;0.039327;91.3426
96;605;0.039481;91.3101
97;604;0.039588;91.2876
98;603;0.039631;91.2786
99;602;0.039755;91.2525
100;601;0.040091;91.182
101;600;0.040281;91.142
102;599;0.04046;91.1046
103;598;0.04084;91.0248
104;597;0.041327;90.9229
105;596;0.04171;90.8426
106;595;0.042485;90.6807
107;594;0.043253;90.5205
108;593;0.043844;90.3975
109;592;0.044158;90.3321
110;591;0.044731;90.213
111;590;0.04511;90.1342
112;589;0.045347;90.0851
113;588;0.04573;90.0056
114;587;0.046006;89.9485
115;586;0.046429;89.861
116;585;0.046919;89.7597
117;584;0.047272;89.6866
118;583;0.047583;89.6224
119;582;0.048146;89.5063
120;581;0.048466;89.4405
121;580;0.049053;89.3196
122;579;0.049219;89.2856
123;578;0.049751;89.1762
124;577;0.050121;89.1002
125;576;0.050551;89.012
126;575;0.051115;88.8965
127;574;0.051217;88.8757
128;573;0.051806;88.7553
129;572;0.051991;88.7174
130;571;0.052661;88.5806
131;570;0.052973;88.517
132;569;0.053407;88.4286
133;568;0.053829;88.3428
134;567;0.054222;88.2629
135;566;0.054677;88.1705
136;565;0.055085;88.0877
137;564;0.055562;87.9909
138;563;0.056099;87.8822
139;562;0.056464;87.8083
140;561;0.057006;87.6988
141;560;0.057514;87.5963
142;559;0.05793;87.5125
143;558;0.058327;87.4326
144;557;0.058751;87.3472
145;556;0.059213;87.2543
146;555;0.05955;87.1867
147;554;0.060062;87.0839
148;553;0.060668;86.9624
149;552;0.061159;86.8642
150;551;0.061714;86.7532
151;550;0.062237;86.6488
152;549;0.062305;86.6354
153;548;0.062604;86.5756
154;547;0.062757;86.5452
155;546;0.063267;86.4436
156;545;0.06349;86.3992
157;544;0.06395;86.3078
158;543;0.064424;86.2136
159;542;0.064965;86.1063
160;541;0.065574;85.9857
161;540;0.06645;85.8124
162;539;0.0669;85.7235
163;538;0.06747;85.611
164;537;0.067871;85.5321
165;536;0.068569;85.3947
166;535;0.069315;85.2481
167;534;0.069982;85.1173
168;533;0.070498;85.0163
169;532;0.071419;84.8362
170;531;0.072007;84.7214
171;530;0.072593;84.6071
172;529;0.073336;84.4626
173;528;0.074151;84.3041
174;527;0.074685;84.2006
175;526;0.075156;84.1093
176;525;0.07573;83.9983
177;524;0.076474;83.8545
178;523;0.077041;83.745
179;522;0.077707;83.6167
180;521;0.078341;83.4947
181;520;0.078857;83.3955
182;519;0.079707;83.2326
183;518;0.08017;83.1439
184;517;0.080725;83.0376
185;516;0.081478;82.8937
186;515;0.082063;82.7822
187;514;0.082882;82.6263
188;513;0.083317;82.5435
189;512;0.083737;82.4638
190;511;0.084426;82.3331
191;510;0.085422;82.1444
192;509;0.086159;82.0051
193;508;0.086631;81.9161
194;507;0.087497;81.7528
195;506;0.08809;81.6413
196;505;0.088898;81.4896
197;504;0.089709;81.3376
198;503;0.090571;81.1762
199;502;0.091373;81.0265
200;501;0.091725;80.9609
201;500;0.092418;80.8318
202;499;0.093084;80.7078
203;498;0.093951;80.5469
204;497;0.094591;80.4283
205;496;0.095383;80.2817
206;495;0.096056;80.1575
207;494;0.096803;80.0197
208;493;0.097737;79.8479
209;492;0.0985;79.7077
210;491;0.099301;79.5608
211;490;0.100151;79.4052
212;489;0.100886;79.271
213;488;0.101814;79.1018
214;487;0.102442;78.9875
215;486;0.103407;78.8122
216;485;0.104105;78.6855
217;484;0.104974;78.5282
218;483;0.105902;78.3607
219;482;0.10671;78.215
220;481;0.107347;78.1003
221;480;0.108242;77.9395
222;479;0.109274;77.7545
223;478;0.109939;77.6356
224;477;0.110764;77.4883
225;476;0.111541;77.3497
226;475;0.112663;77.1502
227;474;0.113407;77.0182
228;473;0.114555;76.8149
229;472;0.115539;76.641
230;471;0.116357;76.4967
231;470;0.11732;76.3274
232;469;0.118283;76.1582
233;468;0.119122;76.0113
234;467;0.120294;75.8064
235;466;0.120986;75.6858
236;465;0.122163;75.4809
237;464;0.123057;75.3256
238;463;0.123965;75.1684
239;462;0.124816;75.0212
240;461;0.125931;74.8289
241;460;0.127097;74.6282
242;459;0.128143;74.4487
243;458;0.129386;74.2359
244;457;0.130429;74.0579
245;456;0.131402;73.8921
246;455;0.132467;73.7112
247;454;0.133527;73.5314
248;453;0.134526;73.3624
249;452;0.135761;73.1541
250;451;0.136912;72.9606
251;450;0.137985;72.7805
252;449;0.139559;72.5172
253;448;0.140722;72.3232
254;447;0.14202;72.1074
255;446;0.143191;71.9132
256;445;0.144357;71.7205
257;444;0.14602;71.4464
258;443;0.14709;71.2705
259;442;0.14819;71.0903
260;441;0.149308;70.9074
261;440;0.150573;70.7013
262;439;0.151889;70.4874
263;438;0.153267;70.2641
264;437;0.154605;70.0479
265;436;0.156014;69.821
266;435;0.157366;69.6039
267;434;0.158998;69.3429
268;433;0.160388;69.1213
269;432;0.162039;68.859
270;431;0.163463;68.6336
271;430;0.164835;68.4171
272;429;0.166363;68.1769
273;428;0.16796;67.9266
274;427;0.169468;67.6911
275;426;0.171176;67.4254
276;425;0.172742;67.1828
277;424;0.174318;66.9395
278;423;0.176229;66.6455
279;422;0.178084;66.3614
280;421;0.179672;66.1193
281;420;0.181417;65.8541
282;419;0.183198;65.5846
283;418;0.185165;65.2882
284;417;0.186835;65.0377
285;416;0.188679;64.7621
286;415;0.190531;64.4866
287;414;0.19253;64.1904
288;413;0.194657;63.8768
289;412;0.196626;63.5878
290;411;0.1986;63.2994
291;410;0.200721;62.991
292;409;0.202871;62.68
293;408;0.20506;62.3648
294;407;0.20715;62.0654
295;406;0.20935;61.7518
296;405;0.211566;61.4376
297;404;0.213502;61.1643
298;403;0.21595;60.8205
299;402;0.218209;60.5049
300;401;0.220581;60.1754
301;400;0.223223;59.8105
302;399;0.225695;59.471
303;398;0.228379;59.1045
304;397;0.230776;58.7793
305;396;0.233593;58.3992
306;395;0.235949;58.0833
307;394;0.238482;57.7455
308;393;0.241135;57.3938
309;392;0.243785;57.0447
310;391;0.246483;56.6914
311;390;0.249236;56.3332
312;389;0.25194;55.9835
313;388;0.255327;55.5486
314;387;0.258278;55.1724
315;386;0.261076;54.8181
316;385;0.264134;54.4335
317;384;0.267198;54.0508
318;383;0.270215;53.6766
319;382;0.273362;53.289
320;381;0.276238;52.9373
321;380;0.279142;52.5845
322;379;0.282246;52.21
323;378;0.285874;51.7757
324;377;0.289063;51.3969
325;376;0.292547;50.9862
326;375;0.29594;50.5894
327;374;0.299414;50.1864
328;373;0.302959;49.7784
329;372;0.306396;49.386
330;371;0.309661;49.0161
331;370;0.31281;48.662
332;369;0.317618;48.1262
333;368;0.32088;47.7661
334;367;0.324278;47.3939
335;366;0.327977;46.9919
336;365;0.33154;46.6079
337;364;0.335275;46.2088
338;363;0.33897;45.8174
339;362;0.342625;45.4334
340;361;0.346675;45.0117
341;360;0.350541;44.6127
342;359;0.354476;44.2104
343;358;0.358271;43.8257
344;357;0.362137;43.4373
345;356;0.366012;43.0515
346;355;0.369765;42.681
347;354;0.373849;42.2816
348;353;0.378042;41.8753
349;352;0.38215;41.4811
350;351;0.386416;41.0756
351;350;0.390571;40.6845
352;349;0.39501;40.2708
353;348;0.399501;39.8565
354;347;0.403772;39.4664
355;346;0.408349;39.0527
356;345;0.412563;38.6756
357;344;0.416722;38.307
358;343;0.421361;37.9
359;342;0.425704;37.5229
360;341;0.430187;37.1375
361;340;0.4349;36.7367
362;339;0.447266;35.7054
363;338;0.451162;35.3865
364;337;0.458017;34.8324
365;336;0.462919;34.4414
366;335;0.467472;34.0822
367;334;0.46975;33.9039
368;333;0.477603;33.2964
369;332;0.479492;33.1519
370;331;0.484137;32.7992
371;330;0.490436;32.3269
372;329;0.495717;31.9362
373;328;0.501041;31.5471
374;327;0.505567;31.22
375;326;0.513476;30.6566
376;325;0.517698;30.36
377;324;0.520036;30.197
378;323;0.527766;29.6643
379;322;0.533038;29.3064
380;321;0.538455;28.9431
381;320;0.543619;28.601
382;319;0.548536;28.279
383;318;0.55175;28.0705
384;317;0.558506;27.6372
385;316;0.562151;27.4062
386;315;0.569639;26.9377
387;314;0.574436;26.6418
388;313;0.58053;26.2706
389;312;0.584421;26.0363
390;311;0.592451;25.5593
391;310;0.595938;25.3549
392;309;0.600742;25.076
393;308;0.608206;24.6487
394;307;0.611235;24.4774
395;306;0.619573;24.0119
396;305;0.624827;23.7232
397;304;0.630443;23.4184
398;303;0.635528;23.1458
399;302;0.63931;22.9451
400;301;0.647206;22.5317
401;300;0.650485;22.3622
402;299;0.658075;21.9748
403;298;0.661737;21.7903
404;297;0.666424;21.5564
405;296;0.672369;21.2633
406;295;0.67841;20.9696
407;294;0.683958;20.7034
408;293;0.689774;20.428
409;292;0.693046;20.2747
410;291;0.697927;20.0481
411;290;0.702213;19.8512
412;289;0.711078;19.4501
413;288;0.714321;19.3054
414;287;0.72177;18.9771
415;286;0.727713;18.7192
416;285;0.733759;18.4604
417;284;0.73587;18.3709
418;283;0.740951;18.1572
419;282;0.748264;17.854
420;281;0.754559;17.5971
421;280;0.75689;17.5029
422;279;0.76502;17.1783
423;278;0.771181;16.9363
424;277;0.774063;16.8243
425;276;0.781977;16.5205
426;275;0.787727;16.3032
427;274;0.791548;16.1604
428;273;0.796728;15.9688
429;272;0.800461;15.8321
430;271;0.804604;15.6818
431;270;0.811493;15.435
432;269;0.813948;15.348
433;268;0.821141;15.0959
434;267;0.826033;14.9268
435;266;0.828882;14.8292
436;265;0.834696;14.632
437;264;0.840993;14.4214
438;263;0.843536;14.3372
439;262;0.849277;14.1489
440;261;0.853841;14.001
441;260;0.85892;13.8382
442;259;0.860036;13.8027
443;258;0.866963;13.5843
444;257;0.868417;13.5389
445;256;0.874688;13.3448
446;255;0.878496;13.2283
447;254;0.883867;13.0657
448;253;0.885726;13.0099
449;252;0.889777;12.8891
450;251;0.893507;12.7789
451;250;0.897903;12.6502
452;249;0.903963;12.4749
453;248;0.907873;12.3631
454;247;0.909915;12.3051
455;246;0.916218;12.1278
456;245;0.920663;12.0043
457;244;0.923039;11.9388
458;243;0.927923;11.8053
459;242;0.932007;11.6948
460;241;0.936577;11.5724
461;240;0.940066;11.4798
462;239;0.945406;11.3395
463;238;0.952647;11.152
464;237;0.956166;11.062
465;236;0.96171;10.9217
466;235;0.967688;10.7724
467;234;0.972324;10.658
468;233;0.979262;10.4891
469;232;0.983242;10.3934
470;231;0.989798;10.2377
471;230;0.993953;10.1402
472;229;1.000213;9.9951
473;228;1.008588;9.8042
474;227;1.013954;9.6838
475;226;1.020197;9.5456
476;225;1.023939;9.4637
477;224;1.030626;9.3191
478;223;1.035948;9.2056
479;222;1.042283;9.0723
480;221;1.047566;8.9626
481;220;1.055557;8.7992
482;219;1.059733;8.715
483;218;1.067481;8.5609
484;217;1.074049;8.4324
485;216;1.077825;8.3594
486;215;1.086027;8.203
487;214;1.089002;8.147
488;213;1.097046;7.9975
489;212;1.099371;7.9548
490;211;1.106039;7.8336
491;210;1.110474;7.754
492;209;1.112068;7.7256
493;208;1.117413;7.6311
494;207;1.121203;7.5648
495;206;1.121685;7.5564
496;205;1.125988;7.4819
497;204;1.128094;7.4457
498;203;1.129023;7.4298
499;202;1.13051;7.4044
500;201;1.132079;7.3777
501;200;1.131614;7.3856
