ID;WL(nm);Abs.;%T
1;700;0.018521;95.825
2;699;0.018544;95.8199
3;698;0.018678;95.7903
4;697;0.018873;95.7474
5;696;0.019067;95.7046
6;695;0.019302;95.6528
7;694;0.019362;95.6396
8;693;0.019335;95.6455
9;692;0.019515;95.6059
10;691;0.01956;95.5961
11;690;0.019913;95.5185
12;689;0.019855;95.5312
13;688;0.020179;95.4598
14;687;0.020218;95.4513
15;686;0.020416;95.4079
16;685;0.020623;95.3624
17;684;0.02068;95.3499
18;683;0.020855;95.3115
19;682;0.021042;95.2705
20;681;0.021276;95.2191
21;680;0.021432;95.1848
22;679;0.02136;95.2006
23;678;0.021495;95.1711
24;677;0.021822;95.0995
25;676;0.021953;95.0708
26;675;0.022091;95.0405
27;674;0.0225;94.9511
28;673;0.02257;94.9357
29;672;0.02272;94.9031
30;671;0.022847;94.8752
31;670;0.023091;94.8219
32;669;0.023226;94.7925
33;668;0.023343;94.7669
34;667;0.023486;94.7357
35;666;0.023691;94.6911
36;665;0.023798;94.6678
37;664;0.024057;94.6113
38;663;0.02444;94.5278
39;662;0.024384;94.5401
40;661;0.024838;94.4414
41;660;0.025089;94.3867
42;659;0.025167;94.3699
43;658;0.025351;94.3299
44;657;0.025452;94.3078
45;656;0.025594;94.277
46;655;0.025918;94.2068
47;654;0.026049;94.1784
48;653;0.026235;94.1381
49;652;0.026247;94.1353
50;651;0.026357;94.1116
51;650;0.026594;94.0602
52;649;0.026698;94.0378
53;648;0.026963;93.9804
54;647;0.027287;93.9103
55;646;0.027662;93.8293
56;645;0.027768;93.8064
57;644;0.028029;93.75
58;643;0.028253;93.7017
59;642;0.028308;93.6897
60;641;0.028833;93.5766
61;640;0.028634;93.6195
62;639;0.028857;93.5713
63;638;0.028814;93.5806
64;637;0.029217;93.4938
65;636;0.02953;93.4265
66;635;0.029661;93.3983
67;634;0.030058;93.313
68;633;0.030238;93.2744
69;632;0.0305;93.2181
70;631;0.030607;93.195
71;630;0.030754;93.1636
72;629;0.031015;93.1075
73;628;0.031405;93.0239
74;627;0.031623;92.9774
75;626;0.031908;92.9164
76;625;0.031836;92.9318
77;624;0.032256;92.842
78;623;0.032427;92.8054
79;622;0.032726;92.7415
80;621;0.033081;92.6657
81;620;0.03341;92.5955
82;619;0.033664;92.5414
83;618;0.033824;92.5074
84;617;0.033969;92.4765
85;616;0.034281;92.4101
86;615;0.034483;92.3671
87;614;0.03478;92.3038
88;613;0.035098;92.2364
89;612;0.035327;92.1877
90;611;0.035737;92.1007
91;610;0.036017;92.0413
92;609;0.036153;92.0126
93;608;0.036174;92.0081
94;607;0.036298;91.9818
95;606;0.036585;91.921
96;605;0.03671;91.8945
97;604;0.036762;91.8836
98;603;0.036829;91.8695
99;602;0.036953;91.8432
100;601;0.037121;91.8076
101;600;0.037447;91.7387
102;599;0.037511;91.7252
103;598;0.037954;91.6317
104;597;0.038322;91.5541
105;596;0.038614;91.4926
106;595;0.039269;91.3548
107;594;0.040174;91.1646
108;593;0.040831;91.0267
109;592;0.041201;90.9493
110;591;0.041564;90.8733
111;590;0.042074;90.7665
112;589;0.042241;90.7316
113;588;0.04235;90.709
114;587;0.042918;90.5903
115;586;0.043232;90.5249
116;585;0.043531;90.4625
117;584;0.044072;90.35
118;583;0.044274;90.308
119;582;0.044788;90.2011
120;581;0.045108;90.1346
121;580;0.045574;90.038
122;579;0.045797;89.9919
123;578;0.046211;89.906
124;577;0.046628;89.8197
125;576;0.046999;89.743
126;575;0.04758;89.6231
127;574;0.047743;89.5895
128;573;0.048256;89.4837
129;572;0.048548;89.4235
130;571;0.048905;89.3501
131;570;0.049383;89.2518
132;569;0.049809;89.1644
133;568;0.050034;89.1181
134;567;0.050558;89.0106
135;566;0.050844;88.952
136;565;0.05111;88.8975
137;564;0.051728;88.7712
138;563;0.052271;88.6602
139;562;0.052687;88.5753
140;561;0.053041;88.5033
141;560;0.053478;88.4141
142;559;0.053943;88.3196
143;558;0.054258;88.2555
144;557;0.054734;88.1588
145;556;0.055184;88.0675
146;555;0.05548;88.0075
147;554;0.055948;87.9127
148;553;0.056626;87.7757
149;552;0.056985;87.7032
150;551;0.057378;87.6238
151;550;0.057843;87.5301
152;549;0.058039;87.4906
153;548;0.058183;87.4615
154;547;0.058353;87.4272
155;546;0.058686;87.3602
156;545;0.059051;87.2868
157;544;0.059473;87.2021
158;543;0.059893;87.1179
159;542;0.060237;87.0489
160;541;0.060951;86.9058
161;540;0.061767;86.7427
162;539;0.062136;86.669
163;538;0.0627;86.5566
164;537;0.063183;86.4603
165;536;0.06373;86.3516
166;535;0.064384;86.2216
167;534;0.065185;86.0628
168;533;0.065682;85.9643
169;532;0.066449;85.8126
170;531;0.067061;85.6917
171;530;0.067592;85.5871
172;529;0.068287;85.4502
173;528;0.069065;85.2972
174;527;0.069471;85.2175
175;526;0.069959;85.1218
176;525;0.070585;84.9993
177;524;0.071024;84.9133
178;523;0.071615;84.7979
179;522;0.07216;84.6915
180;521;0.072739;84.5787
181;520;0.073281;84.4733
182;519;0.074114;84.3114
183;518;0.074747;84.1886
184;517;0.075379;84.0661
185;516;0.07604;83.9383
186;515;0.076394;83.8699
187;514;0.077095;83.7347
188;513;0.077591;83.6391
189;512;0.078105;83.5401
190;511;0.078663;83.4329
191;510;0.079407;83.2901
192;509;0.080167;83.1444
193;508;0.080648;83.0523
194;507;0.081389;82.9107
195;506;0.082172;82.7614
196;505;0.082688;82.6632
197;504;0.083382;82.5312
198;503;0.0843;82.3569
199;502;0.084959;82.2321
200;501;0.085535;82.1231
201;500;0.086214;81.9948
202;499;0.087004;81.8457
203;498;0.087638;81.7264
204;497;0.088154;81.6292
205;496;0.088845;81.4995
206;495;0.089489;81.3787
207;494;0.090112;81.262
208;493;0.091108;81.0759
209;492;0.091745;80.9571
210;491;0.092513;80.814
211;490;0.093207;80.685
212;489;0.094006;80.5368
213;488;0.094873;80.3762
214;487;0.095527;80.2551
215;486;0.096182;80.1343
216;485;0.096946;79.9934
217;484;0.097772;79.8413
218;483;0.098399;79.7262
219;482;0.099386;79.5452
220;481;0.100111;79.4125
221;480;0.100739;79.2977
222;479;0.101798;79.1046
223;478;0.102527;78.972
224;477;0.103372;78.8184
225;476;0.103902;78.7224
226;475;0.104956;78.5316
227;474;0.10573;78.3917
228;473;0.106725;78.2122
229;472;0.107616;78.052
230;471;0.108374;77.9158
231;470;0.10911;77.7839
232;469;0.110117;77.6038
233;468;0.110971;77.4513
234;467;0.112012;77.2659
235;466;0.112751;77.1345
236;465;0.113708;76.9647
237;464;0.114719;76.7859
238;463;0.115491;76.6494
239;462;0.116463;76.478
240;461;0.117487;76.298
241;460;0.118379;76.1415
242;459;0.119389;75.9646
243;458;0.120396;75.7886
244;457;0.121355;75.6214
245;456;0.122433;75.434
246;455;0.123429;75.2611
247;454;0.124371;75.0981
248;453;0.125461;74.9099
249;452;0.12635;74.7567
250;451;0.127494;74.5601
251;450;0.128423;74.4007
252;449;0.129904;74.1474
253;448;0.130873;73.9822
254;447;0.132088;73.7754
255;446;0.133193;73.588
256;445;0.134261;73.4072
257;444;0.135808;73.1462
258;443;0.136754;72.987
259;442;0.137722;72.8245
260;441;0.138949;72.6191
261;440;0.140135;72.421
262;439;0.141441;72.2036
263;438;0.142488;72.0298
264;437;0.143692;71.8304
265;436;0.145029;71.6096
266;435;0.146502;71.3671
267;434;0.147705;71.1697
268;433;0.149157;70.9321
269;432;0.150887;70.6502
270;431;0.151996;70.47
271;430;0.153472;70.2308
272;429;0.154873;70.0047
273;428;0.156319;69.7719
274;427;0.157581;69.5695
275;426;0.159165;69.3163
276;425;0.160595;69.0883
277;424;0.162243;68.8267
278;423;0.163736;68.5905
279;422;0.165642;68.2901
280;421;0.16715;68.0535
