ID;WL(nm);Abs.;%T
1;700;0.006493;98.5161
2;699;0.006422;98.5322
3;698;0.006533;98.507
4;697;0.006621;98.487
5;696;0.006557;98.5015
6;695;0.006786;98.4495
7;694;0.006661;98.478
8;693;0.006633;98.4842
9;692;0.006896;98.4247
10;691;0.00678;98.451
11;690;0.006894;98.4252
12;689;0.006856;98.4338
13;688;0.006856;98.4337
14;687;0.00692;98.4193
15;686;0.006959;98.4103
16;685;0.007041;98.3919
17;684;0.006983;98.405
18;683;0.00717;98.3627
19;682;0.00724;98.3468
20;681;0.00737;98.3172
21;680;0.007232;98.3486
22;679;0.00718;98.3604
23;678;0.007107;98.3769
24;677;0.007313;98.3302
25;676;0.007446;98.3001
26;675;0.007487;98.2909
27;674;0.007648;98.2543
28;673;0.007625;98.2597
29;672;0.007618;98.2612
30;671;0.007694;98.2441
31;670;0.007704;98.2418
32;669;0.007778;98.2249
33;668;0.007845;98.2098
34;667;0.007935;98.1896
35;666;0.008103;98.1516
36;665;0.008046;98.1645
37;664;0.008115;98.1489
38;663;0.008325;98.1014
39;662;0.008178;98.1346
40;661;0.008243;98.1199
41;660;0.008649;98.0283
42;659;0.008542;98.0523
43;658;0.008748;98.0058
44;657;0.008755;98.0042
45;656;0.008732;98.0094
46;655;0.008837;97.9857
47;654;0.008882;97.9756
48;653;0.008895;97.9726
49;652;0.008845;97.984
50;651;0.008852;97.9823
51;650;0.008871;97.9782
52;649;0.009;97.9491
53;648;0.009054;97.9369
54;647;0.009183;97.9078
55;646;0.009323;97.8762
56;645;0.009265;97.8893
57;644;0.009359;97.8681
58;643;0.009477;97.8415
59;642;0.00935;97.87
60;641;0.009594;97.8151
61;640;0.009261;97.8902
62;639;0.009355;97.869
63;638;0.009333;97.8739
64;637;0.009623;97.8087
65;636;0.009626;97.8079
66;635;0.009676;97.7967
67;634;0.009837;97.7604
68;633;0.01;97.7237
69;632;0.010184;97.6824
70;631;0.009976;97.7292
71;630;0.010099;97.7014
72;629;0.010113;97.6983
73;628;0.010103;97.7005
74;627;0.010212;97.6761
75;626;0.010311;97.6537
76;625;0.010189;97.6813
77;624;0.010424;97.6284
78;623;0.010604;97.588
79;622;0.010705;97.5653
80;621;0.010831;97.537
81;620;0.010785;97.5472
82;619;0.0109;97.5215
83;618;0.01111;97.4743
84;617;0.011065;97.4843
85;616;0.011053;97.4871
86;615;0.011092;97.4784
87;614;0.011258;97.441
88;613;0.011323;97.4264
89;612;0.011354;97.4196
90;611;0.011425;97.4036
91;610;0.011551;97.3753
92;609;0.011502;97.3864
93;608;0.011417;97.4053
94;607;0.011411;97.4067
95;606;0.011499;97.3869
96;605;0.011287;97.4346
97;604;0.011295;97.4327
