ID;WL(nm);Abs.;%T
1;700;0.016366;96.3017
2;699;0.01642;96.2897
3;698;0.01649;96.2743
4;697;0.016706;96.2264
5;696;0.016861;96.1919
6;695;0.017081;96.1433
7;694;0.017098;96.1395
8;693;0.017111;96.1366
9;692;0.017245;96.107
10;691;0.017155;96.127
11;690;0.017489;96.0531
12;689;0.017475;96.0562
13;688;0.017673;96.0123
14;687;0.017735;95.9986
15;686;0.017869;95.969
16;685;0.01811;95.9158
17;684;0.018186;95.8989
18;683;0.018369;95.8585
19;682;0.018567;95.8149
20;681;0.018645;95.7977
21;680;0.018649;95.7969
22;679;0.018581;95.8119
23;678;0.018593;95.8092
24;677;0.019005;95.7183
25;676;0.019168;95.6824
26;675;0.019223;95.6702
27;674;0.019557;95.5967
28;673;0.019424;95.6259
29;672;0.019642;95.5781
30;671;0.019979;95.5039
31;670;0.019963;95.5073
32;669;0.020152;95.4658
33;668;0.020194;95.4565
34;667;0.020441;95.4024
35;666;0.020727;95.3396
36;665;0.020903;95.301
37;664;0.020969;95.2865
38;663;0.021334;95.2063
39;662;0.021299;95.214
40;661;0.021477;95.175
41;660;0.02183;95.0977
42;659;0.021715;95.1229
43;658;0.021954;95.0705
44;657;0.022108;95.0369
45;656;0.022478;94.956
46;655;0.022595;94.9303
47;654;0.022702;94.907
48;653;0.02285;94.8747
49;652;0.022943;94.8542
50;651;0.023106;94.8188
51;650;0.023079;94.8245
52;649;0.023221;94.7936
53;648;0.023374;94.7601
54;647;0.023559;94.7199
55;646;0.02399;94.6258
56;645;0.024147;94.5916
57;644;0.024267;94.5655
58;643;0.024492;94.5166
59;642;0.024746;94.4613
60;641;0.025022;94.4014
61;640;0.024898;94.4282
62;639;0.025018;94.4021
63;638;0.02495;94.4169
64;637;0.025407;94.3177
65;636;0.025618;94.2719
66;635;0.02585;94.2214
67;634;0.026062;94.1756
68;633;0.026248;94.1352
69;632;0.026551;94.0695
70;631;0.026594;94.0602
71;630;0.026746;94.0272
72;629;0.026986;93.9754
73;628;0.027199;93.9292
74;627;0.027486;93.8673
75;626;0.027649;93.832
76;625;0.02779;93.8016
77;624;0.028013;93.7535
78;623;0.028258;93.7006
79;622;0.028521;93.6437
80;621;0.028759;93.5925
81;620;0.029016;93.5372
82;619;0.029332;93.4691
83;618;0.029485;93.4362
84;617;0.029669;93.3966
85;616;0.029708;93.3882
86;615;0.029884;93.3503
87;614;0.030215;93.2793
88;613;0.030547;93.2079
89;612;0.030648;93.1863
90;611;0.031069;93.0961
91;610;0.031264;93.0543
92;609;0.031346;93.0366
93;608;0.03147;93.0101
94;607;0.031505;93.0025
95;606;0.031762;92.9475
96;605;0.031817;92.9358
97;604;0.031957;92.9059
98;603;0.031776;92.9445
99;602;0.03194;92.9094
100;601;0.032118;92.8714
101;600;0.03218;92.8582
102;599;0.032548;92.7796
103;598;0.032828;92.7198
104;597;0.033366;92.605
105;596;0.033664;92.5414
106;595;0.034308;92.4043
107;594;0.035075;92.2413
108;593;0.035537;92.1432
109;592;0.035812;92.0849
110;591;0.036179;92.0071
111;590;0.036621;91.9134
112;589;0.03689;91.8565
113;588;0.03709;91.8143
114;587;0.037304;91.7689
115;586;0.037742;91.6766
116;585;0.038108;91.5992
117;584;0.038462;91.5247
118;583;0.038705;91.4735
119;582;0.038886;91.4354
120;581;0.039069;91.3967
121;580;0.039722;91.2595
122;579;0.039888;91.2247
123;578;0.040387;91.1199
124;577;0.040669;91.0606
125;576;0.041146;90.9607
126;575;0.041487;90.8893
127;574;0.041633;90.8587
128;573;0.042198;90.7407
129;572;0.042394;90.6998
130;571;0.042703;90.6352
131;570;0.043183;90.535
132;569;0.043469;90.4756
133;568;0.043627;90.4426
134;567;0.043902;90.3853
135;566;0.044411;90.2794
136;565;0.044729;90.2134
137;564;0.045093;90.1379
138;563;0.045594;90.0338
139;562;0.045911;89.9681
140;561;0.046216;89.9051
141;560;0.046561;89.8336
142;559;0.046917;89.76
143;558;0.047329;89.6749
144;557;0.04778;89.5819
145;556;0.048263;89.4823
146;555;0.048476;89.4383
147;554;0.048887;89.3537
148;553;0.049385;89.2514
149;552;0.049782;89.1699
150;551;0.050153;89.0936
151;550;0.05057;89.0082
152;549;0.050605;89.0011
153;548;0.050698;88.982
154;547;0.050798;88.9615
155;546;0.051322;88.8542
156;545;0.051548;88.8079
157;544;0.051902;88.7357
158;543;0.052163;88.6823
159;542;0.052379;88.6383
160;541;0.053058;88.4997
161;540;0.053816;88.3454
162;539;0.054087;88.2903
163;538;0.054629;88.1802
164;537;0.055011;88.1027
165;536;0.055575;87.9884
166;535;0.056236;87.8544
167;534;0.056923;87.7156
168;533;0.05752;87.5951
169;532;0.058244;87.4493
170;531;0.058651;87.3674
171;530;0.059112;87.2747
172;529;0.059513;87.1941
173;528;0.060061;87.0842
174;527;0.060517;86.9927
175;526;0.061079;86.8803
176;525;0.061598;86.7765
177;524;0.062032;86.6897
178;523;0.062524;86.5916
179;522;0.063032;86.4904
180;521;0.06363;86.3715
181;520;0.064101;86.2777
182;519;0.064804;86.1383
183;518;0.065119;86.0758
184;517;0.065744;85.952
185;516;0.06623;85.8558
186;515;0.066746;85.754
187;514;0.067488;85.6076
188;513;0.067778;85.5504
189;512;0.068259;85.4556
190;511;0.068754;85.3583
191;510;0.069336;85.244
192;509;0.070066;85.1009
193;508;0.07043;85.0295
194;507;0.071253;84.8685
195;506;0.071716;84.7782
196;505;0.072366;84.6513
197;504;0.072981;84.5316
198;503;0.073689;84.3939
199;502;0.074342;84.267
200;501;0.074705;84.1967
201;500;0.075331;84.0755
202;499;0.075934;83.9587
203;498;0.076649;83.8207
204;497;0.077168;83.7206
205;496;0.077678;83.6223
206;495;0.078423;83.4789
207;494;0.078819;83.4028
208;493;0.07952;83.2684
209;492;0.079975;83.1811
210;491;0.080826;83.0183
211;490;0.081433;82.9024
212;489;0.082082;82.7786
213;488;0.08279;82.6438
214;487;0.083426;82.5229
215;486;0.084095;82.3957
216;485;0.084801;82.262
217;484;0.085426;82.1437
218;483;0.086186;82.0001
219;482;0.086815;81.8814
220;481;0.087307;81.7886
221;480;0.08802;81.6545
222;479;0.088951;81.4796
223;478;0.089503;81.3761
224;477;0.090115;81.2615
225;476;0.090655;81.1605
226;475;0.091403;81.0208
227;474;0.092235;80.8659
228;473;0.093122;80.7009
229;472;0.094114;80.5167
230;471;0.094621;80.4227
231;470;0.095401;80.2784
232;469;0.096243;80.1229
233;468;0.096893;80.0032
234;467;0.097854;79.8263
235;466;0.098358;79.7338
236;465;0.099372;79.5477
237;464;0.100039;79.4257
238;463;0.10067;79.3103
239;462;0.101623;79.1365
240;461;0.102574;78.9634
241;460;0.103519;78.7918
242;459;0.104327;78.6454
243;458;0.105156;78.4954
244;457;0.105992;78.3444
245;456;0.106772;78.2039
246;455;0.107546;78.0646
247;454;0.10844;77.904
248;453;0.109327;77.7451
249;452;0.110347;77.5627
250;451;0.111169;77.4161
251;450;0.112311;77.2128
252;449;0.113387;77.0217
253;448;0.114414;76.8398
254;447;0.115524;76.6437
255;446;0.116532;76.4659
256;445;0.117527;76.2909
257;444;0.11867;76.0905
258;443;0.11951;75.9434
259;442;0.120503;75.7699
260;441;0.12146;75.6032
261;440;0.122496;75.4231
262;439;0.123634;75.2257
263;438;0.124552;75.0669
264;437;0.125722;74.8649
265;436;0.126791;74.6808
266;435;0.128061;74.4627
267;434;0.129378;74.2372
268;433;0.130522;74.042
269;432;0.131865;73.8134
270;431;0.132882;73.6408
271;430;0.1341;73.4345
272;429;0.135386;73.2174
273;428;0.136739;72.9896
274;427;0.137764;72.8176
275;426;0.139252;72.5684
276;425;0.140462;72.3666
277;424;0.141764;72.1499
278;423;0.143272;71.8999
279;422;0.144902;71.6305
280;421;0.146058;71.4401
281;420;0.147486;71.2056
282;419;0.149067;70.9469
283;418;0.150639;70.6905
284;417;0.151868;70.4907
285;416;0.153386;70.2448
286;415;0.154933;69.995
287;414;0.156559;69.7334
288;413;0.158465;69.428
289;412;0.159996;69.1837
290;411;0.161548;68.937
